Дата,Цена закрытия
2024-10-10 09:00:00,260.88
2024-10-10 10:00:00,260.92
2024-10-10 11:00:00,261.0
2024-10-10 12:00:00,260.22
2024-10-10 13:00:00,259.66
2024-10-10 14:00:00,259.43
2024-10-10 15:00:00,259.53
2024-10-10 16:00:00,260.02
2024-10-10 17:00:00,259.85
2024-10-10 18:00:00,260.1
2024-10-10 19:00:00,260.1
2024-10-10 20:00:00,260.01
2024-10-10 21:00:00,259.96
2024-10-10 22:00:00,259.89
2024-10-10 23:00:00,259.98
2024-10-11 09:00:00,259.8
2024-10-11 10:00:00,259.3
2024-10-11 11:00:00,259.05
2024-10-11 12:00:00,257.99
2024-10-11 13:00:00,257.21
2024-10-11 14:00:00,257.97
2024-10-11 15:00:00,257.49
2024-10-11 16:00:00,257.2
2024-10-11 17:00:00,257.59
2024-10-11 18:00:00,258.04
2024-10-11 19:00:00,258.31
2024-10-11 20:00:00,257.53
2024-10-11 21:00:00,257.5
2024-10-11 22:00:00,257.03
2024-10-11 23:00:00,256.94
2024-10-14 09:00:00,256.15
2024-10-14 10:00:00,255.02
2024-10-14 11:00:00,254.61
2024-10-14 12:00:00,255.45
2024-10-14 13:00:00,259.28
2024-10-14 14:00:00,260.58
2024-10-14 15:00:00,260.38
2024-10-14 16:00:00,262.29
2024-10-14 17:00:00,262.77
2024-10-14 18:00:00,259.5
2024-10-14 19:00:00,261.24
2024-10-14 20:00:00,261.46
2024-10-14 21:00:00,261.1
2024-10-14 22:00:00,261.13
2024-10-14 23:00:00,261.28
2024-10-15 09:00:00,260.94
2024-10-15 10:00:00,261.76
2024-10-15 11:00:00,262.65
2024-10-15 12:00:00,263.24
2024-10-15 13:00:00,262.73
2024-10-15 14:00:00,263.15
2024-10-15 15:00:00,262.06
2024-10-15 16:00:00,262.17
2024-10-15 17:00:00,261.98
2024-10-15 18:00:00,262.45
2024-10-15 19:00:00,262.2
2024-10-15 20:00:00,262.21
2024-10-15 21:00:00,262.09
2024-10-15 22:00:00,262.18
2024-10-15 23:00:00,262.03
2024-10-16 09:00:00,262.05
2024-10-16 10:00:00,264.2
2024-10-16 11:00:00,264.52
2024-10-16 12:00:00,260.77
2024-10-16 13:00:00,261.02
2024-10-16 14:00:00,259.85
2024-10-16 15:00:00,259.62
2024-10-16 16:00:00,259.79
2024-10-16 17:00:00,258.69
2024-10-16 18:00:00,258.99
2024-10-16 19:00:00,259.64
2024-10-16 20:00:00,259.39
2024-10-16 21:00:00,259.77
2024-10-16 22:00:00,259.8
2024-10-16 23:00:00,259.5
2024-10-17 09:00:00,259.5
2024-10-17 10:00:00,259.37
2024-10-17 11:00:00,259.52
2024-10-17 12:00:00,258.4
2024-10-17 13:00:00,257.96
2024-10-17 14:00:00,257.96
2024-10-17 15:00:00,257.66
2024-10-17 16:00:00,257.8
2024-10-17 17:00:00,257.56
2024-10-17 18:00:00,257.25
2024-10-17 19:00:00,256.68
2024-10-17 20:00:00,256.81
2024-10-17 21:00:00,256.46
2024-10-17 22:00:00,256.5
2024-10-17 23:00:00,256.57
2024-10-18 09:00:00,256.21
2024-10-18 10:00:00,256.79
2024-10-18 11:00:00,257.3
2024-10-18 12:00:00,257.23
2024-10-18 13:00:00,255.04
2024-10-18 14:00:00,255.31
2024-10-18 15:00:00,255.25
2024-10-18 16:00:00,254.82
2024-10-18 17:00:00,256.2
2024-10-18 18:00:00,256.6
2024-10-18 19:00:00,256.72
2024-10-18 20:00:00,256.42
2024-10-18 21:00:00,256.33
2024-10-18 22:00:00,256.72
2024-10-18 23:00:00,257.19
2024-10-21 09:00:00,257.3
2024-10-21 10:00:00,258.3
2024-10-21 11:00:00,257.58
2024-10-21 12:00:00,258.07
2024-10-21 13:00:00,258.09
2024-10-21 14:00:00,257.89
2024-10-21 15:00:00,259.4
2024-10-21 16:00:00,259.67
2024-10-21 17:00:00,259.21
2024-10-21 18:00:00,258.3
2024-10-21 19:00:00,258.1
2024-10-21 20:00:00,257.88
2024-10-21 21:00:00,257.9
2024-10-21 22:00:00,257.9
2024-10-21 23:00:00,258.21
2024-10-22 09:00:00,258.1
2024-10-22 10:00:00,256.75
2024-10-22 11:00:00,256.55
2024-10-22 12:00:00,257.86
2024-10-22 13:00:00,257.23
2024-10-22 14:00:00,256.66
2024-10-22 15:00:00,256.45
2024-10-22 16:00:00,256.56
2024-10-22 17:00:00,256.27
2024-10-22 18:00:00,255.85
2024-10-22 19:00:00,255.45
2024-10-22 20:00:00,255.5
2024-10-22 21:00:00,255.73
2024-10-22 22:00:00,255.69
2024-10-22 23:00:00,255.42
2024-10-23 09:00:00,255.1
2024-10-23 10:00:00,252.94
2024-10-23 11:00:00,253.63
2024-10-23 12:00:00,253.63
2024-10-23 13:00:00,254.5
2024-10-23 14:00:00,254.31
2024-10-23 15:00:00,254.63
2024-10-23 16:00:00,254.66
2024-10-23 17:00:00,254.33
2024-10-23 18:00:00,253.41
2024-10-23 19:00:00,252.93
2024-10-23 20:00:00,251.9
2024-10-23 21:00:00,252.08
2024-10-23 22:00:00,252.4
2024-10-23 23:00:00,252.01
2024-10-24 09:00:00,252.01
2024-10-24 10:00:00,251.88
2024-10-24 11:00:00,251.93
2024-10-24 12:00:00,250.81
2024-10-24 13:00:00,250.87
2024-10-24 14:00:00,251.44
2024-10-24 15:00:00,250.54
